epoch,train_loss,val_loss,val_iou,val_pixel_acc,learning_rate
1,2.899404686689377,2.2753176927566527,0.11963415222910215,0.7347748756408692,5e-05
2,2.178792691230774,1.833480215072632,0.15853359008476456,0.7736489295959472,5e-05
3,1.7489234328269958,1.5519686460494995,0.17719276992804195,0.7931983947753907,5e-05
4,1.4746055960655213,1.2691148042678833,0.19303336668898347,0.8155217170715332,5e-05
5,1.266895619034767,1.1338644444942474,0.19674582888838146,0.8194181442260742,5e-05
6,1.1145920962095262,1.0242737710475922,0.19700869943497762,0.8206493377685546,5e-05
7,0.9975766390562057,0.9163011252880097,0.20153173532208876,0.8265685081481934,5e-05
8,0.9139093369245529,0.8719353079795837,0.20229187201376883,0.8274232864379882,5e-05
9,0.8497911602258682,0.816643238067627,0.2047480386515635,0.8318930625915527,5e-05
10,0.7902471855282783,0.7656195521354675,0.2068721287991278,0.8329276084899903,5e-05
11,0.7398336291313171,0.7495883762836456,0.21121582942221587,0.8341559410095215,5e-05
12,0.7046189814805984,0.7085960805416107,0.21600206189312798,0.8374149322509765,5e-05
13,0.6706334084272385,0.6862904489040375,0.22174016125040552,0.8404346466064453,5e-05
14,0.6399010330438614,0.6502500474452972,0.2267938833797385,0.8433518409729004,5e-05
15,0.6183351844549179,0.6346814185380936,0.2319648418435875,0.8451676368713379,5e-05
16,0.5893350444734097,0.6088810652494431,0.2461349224138901,0.8519235610961914,5e-05
17,0.5654855012893677,0.5931811988353729,0.2527463933551287,0.855568790435791,5e-05
18,0.5429279088974,0.5842322289943696,0.25843416785535334,0.8556238174438476,5e-05
19,0.5273246191442013,0.5638745307922364,0.2816457677971276,0.8604290962219239,5e-05
20,0.5050830833613873,0.5412814617156982,0.2902514672567902,0.8720605850219727,5e-05
21,0.483926147967577,0.5315833806991577,0.30244739196137743,0.8748854637145996,5e-05
22,0.470873811095953,0.515536630153656,0.3052399554052029,0.8774706840515136,5e-05
23,0.45630308911204337,0.5044670134782792,0.3176376804429827,0.8808831214904785,5e-05
24,0.4428050197660923,0.489494714140892,0.32195237386839237,0.8823627471923828,5e-05
25,0.4270328275859356,0.48366753160953524,0.3229743691306062,0.8815362930297852,5e-05
26,0.4095003083348274,0.46968577802181244,0.3320027771534356,0.8847529411315918,5e-05
27,0.4055752046406269,0.47093709409236906,0.34010430445367235,0.8842975616455078,5e-05
28,0.3849838420748711,0.4529655635356903,0.3475652352545652,0.8878000259399415,5e-05
29,0.3768832191824913,0.4518492966890335,0.35256755283628577,0.8878931999206543,5e-05
30,0.3660927198827267,0.43821010291576384,0.3592320255289351,0.8903037071228027,5e-05
31,0.35986807346343996,0.4363626092672348,0.36421905561812673,0.8903992652893067,5e-05
